"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2022","TotalFedAction_2022","Ratio","Year","state","fipsStateCode","Disasters","2022"
"31",9261699,0.493,0.507,0.055,0.159,40.4,96346,0.753,0.162,0.076,0.009,2022,"New Jersey",0.214,34,"NJ",3846616261.4,79570162065.7,0.0483424459814962,2022,NA,NA,NA,79.52
"32",2113344,0.496,0.504,0.05,0.166,39.4,59726,0.699,0.219,0.076,0.006,2022,"New Mexico",0.216,35,"NM",1212023907.04,25577864532.39,0.0473856566682953,2022,"NM",35,13,70.1
"33",19677151,0.489,0.511,0.054,0.149,40,79557,0.636,0.153,0.194,0.017,2022,"New York",0.203,36,"NY",11705810631.29,238113063988.52,0.0491607240493716,2022,"NY",36,9,80.11
"34",10698973,0.489,0.511,0.055,0.16,39.2,67481,0.303,0.657,0.034,0.006,2022,"North Carolina",0.215,37,"NC",3792266050.58,89925357727.06,0.0421712645513207,2022,NA,NA,NA,73.22
"35",779261,0.512,0.488,0.061,0.171,36.2,71970,0.576,0.368,0.043,0.013,2022,"North Dakota",0.232,38,"ND",1080563075.51,69911054995.37,0.015456254745141,2022,"ND",38,40,62.19
"36",11756058,0.494,0.506,0.056,0.161,39.9,65720,0.694,0.26,0.041,0.006,2022,"Ohio",0.217,39,"OH",4651614218.48,105133976322.54,0.0442446331926925,2022,NA,NA,NA,72.67
"37",4019800,0.499,0.501,0.06,0.177,37.1,59673,0.554,0.419,0.022,0.004,2022,"Oklahoma",0.237,40,"OK",2492399978.56,38505614131.58,0.0647282230077687,2022,"OK",40,9,66.52
"38",4240137,0.5,0.5,0.047,0.149,40.5,75657,0.39,0.539,0.065,0.005,2022,"Oregon",0.196,41,"OR",2189038103.3,47369482743.63,0.046211990853845,2022,"OR",41,2,74.38
"39",12972008,0.493,0.507,0.052,0.151,40.9,71798,0.565,0.253,0.177,0.005,2022,"Pennsylvania",0.203,42,"PA",5790719073.11,211595006600.22,0.027366993040865,2022,NA,NA,NA,74.65
"40",1093734,0.49,0.51,0.048,0.138,40.7,81854,0.588,0.136,0.272,0.004,2022,"Rhode Island",0.186,44,"RI",1060366918,12598093913.71,0.0841688373862688,2022,"RI",44,6,74.53
"41",5282634,0.486,0.514,0.053,0.158,40.5,64115,0.268,0.711,0.015,0.007,2022,"South Carolina",0.211,45,"SC",2075295376.74,103202148413.62,0.0201090326959329,2022,"SC",45,46,70.25
"42",909824,0.508,0.492,0.063,0.178,38.5,69728,0.637,0.31,0.042,0.01,2022,"South Dakota",0.241,46,"SD",996959765.35,9708695768.47,0.102687301067537,2022,"SD",46,29,68.86
"43",7051339,0.491,0.509,0.057,0.161,39.2,65254,0.345,0.631,0.017,0.006,2022,"Tennessee",0.218,47,"TN",2597177009.34,84717819001.74,0.0306567973531832,2022,"TN",47,30,69.57
"44",30029572,0.5,0.5,0.063,0.185,35.6,72284,0.371,0.615,0.007,0.007,2022,"Texas",0.248,48,"TX",10014792007.68,209965673867.81,0.0476972822423588,2022,"TX",48,9,70.48
"45",3380800,0.508,0.492,0.068,0.208,32.1,89168,0.811,0.17,0.015,0.003,2022,"Utah",0.276,49,"UT",1285993644.2,20431959938.18,0.0629402978515507,2022,NA,NA,NA,69.04
"46",647064,0.496,0.504,0.043,0.133,43.2,73991,0.367,0.087,0.543,0.003,2022,"Vermont",0.176,50,"VT",740238541.47,7097151228.95,0.104300798671232,2022,NA,NA,NA,76.32
"47",8683619,0.495,0.505,0.055,0.159,39,85873,0.366,0.576,0.052,0.006,2022,"Virginia",0.214,51,"VA",3491514062.7,73009402392.59,0.0478228001912034,2022,"VA",51,31,75.32
"48",7785786,0.505,0.495,0.054,0.157,38.4,91306,0.362,0.583,0.048,0.006,2022,"Washington",0.211,53,"WA",3635918227.95,67077677028.4,0.0542045936744439,2022,"WA",53,40,75.36
"49",1775156,0.497,0.503,0.049,0.149,42.9,54329,0.454,0.463,0.078,0.005,2022,"West Virginia",0.198,54,"WV",1602935519.93,20833206187.02,0.0769413745316215,2022,NA,NA,NA,62.53
"50",5892539,0.502,0.498,0.052,0.158,40.4,70996,0.767,0.177,0.05,0.006,2022,"Wisconsin",0.21,55,"WI",2409948401.58,90093335822.86,0.0267494635376628,2022,NA,NA,NA,73.72
"51",581381,0.512,0.488,0.052,0.171,39.1,70042,0.706,0.228,0.059,0.007,2022,"Wyoming",0.223,56,"WY",688348814.65,5642883262.89,0.121985301233657,2022,NA,NA,NA,62.73
