"","State","Year","Total_EE_Investment","Political_Score","Disasters","Total population","Female","child","Median age (years)","Median household income (dollars)","Gas","Electricity"
"63","Colorado  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Connecticut",2022,2240289005.08,77.34,7,3626205,0.51,0.201,40.9,88429,0.423,0.183
"65","Connecticut  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Delaware",2022,634404972.24,73.44,1,1018396,0.514,0.204,41.5,82174,0.539,0.349
"67","Delaware  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","District of Columbia",2022,1266868517.35,81.7,NA,671803,0.524,0.185,34.9,101027,0.487,0.469
"69","District of Columbia  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Florida",2022,5890770773.57,73.92,147,22244823,0.508,0.194,42.7,69303,0.064,0.902
"71","Florida  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Georgia",2022,4166526375.84,72.21,NA,10912876,0.512,0.23,37.6,72837,0.417,0.567
"73","Georgia  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Hawaii",2022,879090645.72,75.86,2,1440196,0.496,0.206,40.8,92458,0.05,0.422
"75","Hawaii  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Idaho",2022,1023082728.1,70.17,4,1939033,0.496,0.24,37.5,72785,0.565,0.354
"77","Idaho  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Illinois",2022,6302024530.3,77.11,14,12582032,0.505,0.216,39.1,76708,0.791,0.19
"79","Illinois  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Indiana",2022,2724668363.01,69.72,NA,6833037,0.503,0.229,38.2,66785,0.66,0.311
"81","Indiana  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Iowa",2022,1942403951.65,69.53,25,3200517,0.498,0.224,38.9,69588,0.729,0.244
"83","Iowa  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Kansas",2022,1398958113.88,69.2,77,2937150,0.498,0.234,37.6,68925,0.71,0.267
"85","Kansas  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Kentucky",2022,2131776849.77,66.81,72,4512310,0.505,0.223,39.4,59341,0.419,0.546
"87","Kentucky  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Louisiana",2022,2662517883.09,68.74,NA,4590241,0.51,0.231,38.2,55416,0.342,0.646
"89","Louisiana  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Maine",2022,1088263700.89,73.37,3,1385340,0.506,0.177,45.1,69543,0.22,0.106
"91","Maine  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Maryland",2022,2672725781.58,78.08,NA,6164660,0.513,0.219,39.7,94991,0.471,0.439
"93","Maryland  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Massachusetts",2022,5627800500.42,78.83,5,6981974,0.51,0.191,40.3,94488,0.563,0.182
"95","Massachusetts  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Michigan",2022,4123640240.78,75.93,NA,10034118,0.504,0.209,40.3,66986,0.834,0.123
"97","Michigan  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Minnesota",2022,2815328690.94,72.94,65,5717184,0.498,0.225,39,82338,0.765,0.187
"99","Minnesota  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Mississippi",2022,1840374717.17,70.02,83,2940057,0.515,0.23,38.9,52719,0.39,0.592
"101","Mississippi  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Missouri",2022,2448493660.94,69.56,11,6177957,0.507,0.221,39.1,64811,0.571,0.392
"103","Missouri  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Montana",2022,1599298728.37,68.8,7,1122867,0.495,0.209,40.2,67631,0.633,0.277
"105","Montana  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Nebraska",2022,1097078086.6,68.85,48,1967923,0.498,0.242,37.4,69597,0.663,0.315
"107","Nebraska  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Nevada",2022,1027598866.7,71.86,1,3177772,0.497,0.217,39,72333,0.62,0.344
"109","Nevada  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","New Hampshire",2022,752818696.87,74.55,2,1395231,0.501,0.18,43.3,89992,0.404,0.11
"111","New Hampshire  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","New Jersey",2022,3846616261.4,79.52,NA,9261699,0.507,0.214,40.4,96346,0.753,0.162
"113","New Jersey  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","New Mexico",2022,1212023907.04,70.1,13,2113344,0.504,0.216,39.4,59726,0.699,0.219
"115","New Mexico  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","New York",2022,11705810631.29,80.11,9,19677151,0.511,0.203,40,79557,0.636,0.153
"117","New York  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","North Carolina",2022,3792266050.58,73.22,NA,10698973,0.511,0.215,39.2,67481,0.303,0.657
"119","North Carolina  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","North Dakota",2022,1080563075.51,62.19,40,779261,0.488,0.232,36.2,71970,0.576,0.368
"121","North Dakota  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Ohio",2022,4651614218.48,72.67,NA,11756058,0.506,0.217,39.9,65720,0.694,0.26
"123","Ohio  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Oklahoma",2022,2492399978.56,66.52,9,4019800,0.501,0.237,37.1,59673,0.554,0.419
"125","Oklahoma  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Oregon",2022,2189038103.3,74.38,2,4240137,0.5,0.196,40.5,75657,0.39,0.539
"127","Oregon  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Pennsylvania",2022,5790719073.11,74.65,NA,12972008,0.507,0.203,40.9,71798,0.565,0.253
"129","Pennsylvania  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Rhode Island",2022,1060366918,74.53,6,1093734,0.51,0.186,40.7,81854,0.588,0.136
"131","Rhode Island  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","South Carolina",2022,2075295376.74,70.25,46,5282634,0.514,0.211,40.5,64115,0.268,0.711
"133","South Carolina  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","South Dakota",2022,996959765.35,68.86,29,909824,0.492,0.241,38.5,69728,0.637,0.31
"135","South Dakota  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Tennessee",2022,2597177009.34,69.57,30,7051339,0.509,0.218,39.2,65254,0.345,0.631
"137","Tennessee  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Texas",2022,10014792007.68,70.48,9,30029572,0.5,0.248,35.6,72284,0.371,0.615
