"","State","Year","Total_EE_Investment","Political_Score","Disasters","Total population","Female","child","Median age (years)","Median household income (dollars)","Gas","Electricity"
"284","Indiana",2024,3933144485.42,70.49,NA,6924275,0.504,0.228,38.3,71959,0.652,0.321
"285","Indiana  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Iowa",2024,2017905062.48,71.01,67,3241488,0.499,0.224,39,75501,0.72,0.253
"287","Iowa  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Kansas",2024,1666860254.58,68.61,82,2970606,0.499,0.232,38,75514,0.711,0.269
"289","Kansas  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Kentucky",2024,2558495888.8,69.12,69,4588372,0.504,0.222,39.3,64526,0.412,0.554
"291","Kentucky  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Louisiana",2024,3588693080.46,66.18,86,4597740,0.512,0.231,38.7,60986,0.35,0.637
"293","Louisiana  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Maine",2024,1593879689.05,74.24,20,1405012,0.507,0.175,44.9,76442,0.243,0.135
"295","Maine  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Maryland",2024,12690361464.41,78.33,NA,6263220,0.515,0.218,39.8,102905,0.465,0.454
"297","Maryland  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Massachusetts",2024,6990849397.69,79.71,2,7136171,0.512,0.19,40.1,104828,0.565,0.205
"299","Massachusetts  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Michigan",2024,6031274684.72,75.69,9,10140459,0.505,0.208,40.4,72389,0.836,0.125
"301","Michigan  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Minnesota",2024,4092853439.82,74.08,32,5793151,0.5,0.223,39.2,87117,0.757,0.199
"303","Minnesota  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Mississippi",2024,2035777271.02,71.3,6,2943045,0.517,0.229,39.3,59127,0.403,0.578
"305","Mississippi  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Missouri",2024,3179988293.27,69.86,15,6245466,0.507,0.219,39.4,71589,0.575,0.392
"307","Missouri  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Montana",2024,1426545793.68,69.51,26,1137233,0.494,0.202,41.3,75340,0.635,0.284
"309","Montana  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Nebraska",2024,1789863098.09,68.77,50,2005466,0.497,0.24,37.4,76376,0.661,0.318
"311","Nebraska  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Nevada",2024,1579583826.17,74.16,5,3267467,0.496,0.211,39.5,81134,0.638,0.33
"313","Nevada  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","New Hampshire",2024,1085554884.52,76.36,12,1409032,0.502,0.176,43.6,99782,0.426,0.119
"315","New Hampshire  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","New Jersey",2024,4975869803.78,79.64,NA,9500851,0.508,0.215,40.1,104294,0.759,0.167
"317","New Jersey  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","New Mexico",2024,1906336087.83,71.66,13,2130256,0.5,0.209,39.9,67816,0.697,0.225
"319","New Mexico  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","New York",2024,17586331942.41,79.66,21,19867248,0.512,0.2,40.1,85820,0.645,0.165
"321","New York  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","North Carolina",2024,3978893247.31,74.15,215,11046024,0.511,0.213,39.4,73958,0.304,0.66
"323","North Carolina  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","North Dakota",2024,1268316602.09,63.09,13,796568,0.487,0.224,36.7,77871,0.534,0.41
"325","North Dakota  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Ohio",2024,6185991619.93,72.37,11,11883304,0.506,0.216,39.8,72212,0.695,0.265
"327","Ohio  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Oklahoma",2024,2566480232.39,67.9,38,4095393,0.502,0.235,37.4,66148,0.558,0.419
"329","Oklahoma  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Oregon",2024,2955632211.65,75.75,33,4272371,0.502,0.193,40.8,85220,0.389,0.54
"331","Oregon  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Pennsylvania",2024,9720985314.49,73.91,13,13078751,0.507,0.201,41.2,77545,0.571,0.26
"333","Pennsylvania  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Rhode Island",2024,1380487138.23,76.14,8,1112308,0.508,0.183,41,83504,0.583,0.142
"335","Rhode Island  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","South Carolina",2024,2264604845.05,70.6,140,5478831,0.512,0.21,40.7,72350,0.283,0.697
"337","South Carolina  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","South Dakota",2024,1322208547.3,68.62,25,924669,0.486,0.235,38.7,76881,0.646,0.316
"339","South Dakota  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","Tennessee",2024,3551978129.48,69.63,29,7227750,0.51,0.218,39.1,71997,0.335,0.646
"341","Tennessee  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Texas",2024,12930252885.5,69.69,154,31290831,0.501,0.244,35.9,79721,0.38,0.605
"343","Texas  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Utah",2024,1932744334.79,68.76,6,3503613,0.492,0.266,32.5,96658,0.814,0.167
"345","Utah  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Vermont",2024,906219491.39,77.19,39,648493,0.506,0.172,43.9,82730,0.396,0.118
"347","Vermont  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Virginia",2024,4461158037.71,74.93,24,8811195,0.506,0.213,39.4,92090,0.369,0.577
"349","Virginia  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Washington",2024,4577337110.03,75.9,28,7958180,0.496,0.208,38.7,99389,0.353,0.6
"351","Washington  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","West Virginia",2024,1986789678.16,64.96,34,1769979,0.502,0.197,42.9,60798,0.444,0.482
"353","West Virginia  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Wisconsin",2024,3891063901.98,73.81,NA,5960975,0.499,0.207,40.7,77488,0.766,0.183
"355","Wisconsin  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Wyoming",2024,964584884.41,61.76,4,587618,0.487,0.212,40.2,75532,0.694,0.242
"357","Wyoming  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
