"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2023","TotalFedAction_2023","Ratio","Year","state","fipsStateCode","Disasters","2023"
"1",5108468,0.484,0.516,0.056,0.165,39.6,62212,0.307,0.676,0.01,0.007,2023,"Alabama",0.221,1,"AL",2616267061.71,49345718722.93,0.053019129712144,2023,"AL",1,23,69.01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Alabama  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",733406,0.526,0.474,0.062,0.176,36.5,86631,0.515,0.138,0.338,0.009,2023,"Alaska",0.238,2,"AK",1817444960.24,12421209329.7,0.14631787549819,2023,"AK",2,11,71.61
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Alaska  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",7431344,0.499,0.501,0.053,0.16,39.3,77315,0.358,0.601,0.031,0.01,2023,"Arizona",0.213,4,"AZ",3488333363.56,90601708052.82,0.0385018498936723,2023,"AZ",4,3,73.19
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Arizona  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3067732,0.493,0.507,0.058,0.171,38.9,58700,0.428,0.536,0.031,0.005,2023,"Arkansas",0.229,5,"AR",1648139646.77,30698313806.77,0.0536882793349559,2023,"AR",5,16,68.58
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Arkansas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",38965193,0.499,0.501,0.054,0.163,38.2,95521,0.643,0.296,0.032,0.03,2023,"California",0.217,6,"CA",21411629440.86,364122505248.13,0.0588033673619518,2023,"CA",6,179,76.3
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"California  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",5877610,0.507,0.493,0.052,0.154,37.9,92911,0.716,0.251,0.028,0.005,2023,"Colorado",0.206,8,"CO",2982235759.47,46725774954.87,0.0638242118477518,2023,"CO",8,14,74.75
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Colorado  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3617176,0.491,0.509,0.05,0.15,41.5,91665,0.432,0.192,0.372,0.005,2023,"Connecticut",0.2,9,"CT",2490196284.92,95690306966.19,0.0260234956274083,2023,NA,NA,NA,77.92
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Connecticut  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1031890,0.484,0.516,0.053,0.153,42,81361,0.513,0.38,0.103,0.005,2023,"Delaware",0.206,10,"DE",810560231.75,10916663850.57,0.0742498113750821,2023,NA,NA,NA,73.81
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Delaware  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",678972,0.474,0.526,0.057,0.13,34.9,108210,0.468,0.496,0.021,0.014,2023,"District of Columbia",0.187,11,"DC",1443662094.02,18349990096.79,0.0786737260568082,2023,NA,NA,NA,82.28
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"District of Columbia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22610726,0.492,0.508,0.05,0.144,42.8,73311,0.065,0.899,0.01,0.025,2023,"Florida",0.194,12,"FL",7418329840.63,248812280397.16,0.0298149666438838,2023,"FL",12,216,74.41
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Florida  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
