"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2023","TotalFedAction_2023","Ratio","Year","state","fipsStateCode","Disasters","2023"
"21",11029227,0.488,0.512,0.056,0.173,37.9,74632,0.409,0.577,0.007,0.007,2023,"Georgia",0.229,13,"GA",4748788607.62,81806615941.67,0.0580489554904214,2023,"GA",13,41,72.64
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Georgia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1435138,0.501,0.499,0.054,0.151,41.4,95322,0.051,0.445,0.053,0.452,2023,"Hawaii",0.205,15,"HI",979546778.79,14408166618.66,0.0679855254811802,2023,"HI",15,7,76.13
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Hawaii  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1964726,0.503,0.497,0.056,0.181,37.8,74942,0.565,0.359,0.068,0.007,2023,"Idaho",0.237,16,"ID",1044793710.98,16306454522.93,0.0640724020976368,2023,NA,NA,NA,70.58
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Idaho  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",12549689,0.494,0.506,0.053,0.163,39.5,80306,0.791,0.191,0.01,0.008,2023,"Illinois",0.216,17,"IL",7005965831.38,145011990886.79,0.0483130104520082,2023,"IL",17,23,77.63
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Illinois  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",6862199,0.497,0.503,0.059,0.172,38.3,69477,0.656,0.314,0.025,0.004,2023,"Indiana",0.231,18,"IN",3708879092.54,177780814120.28,0.0208620885830273,2023,"IN",18,13,70.26
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Indiana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",3207004,0.5,0.5,0.057,0.169,39.1,71433,0.722,0.249,0.023,0.006,2023,"Iowa",0.226,19,"IA",1975113665.31,27524473002.77,0.0717584552885437,2023,"IA",19,7,69.77
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Iowa  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2940547,0.502,0.498,0.058,0.176,37.9,70333,0.703,0.273,0.021,0.004,2023,"Kansas",0.234,20,"KS",1448714815.17,23844104121.23,0.0607577792734143,2023,"KS",20,1,69.56
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Kansas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",4526154,0.496,0.504,0.058,0.165,39.2,61118,0.411,0.555,0.029,0.005,2023,"Kentucky",0.223,21,"KY",2869008569.09,146781150663.15,0.019546164859234,2023,"KY",21,110,67.59
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Kentucky  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",4573749,0.489,0.511,0.06,0.172,38.7,58229,0.34,0.647,0.006,0.007,2023,"Louisiana",0.232,22,"LA",3214317457.03,54609667365.77,0.0588598614875427,2023,"LA",22,10,69.07
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Louisiana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1395722,0.491,0.509,0.043,0.133,44.9,73733,0.222,0.128,0.644,0.005,2023,"Maine",0.176,23,"ME",1174245876.62,16358363575.22,0.0717826004551441,2023,"ME",23,32,74
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Maine  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",6180253,0.485,0.515,0.056,0.164,39.8,98678,0.468,0.445,0.079,0.007,2023,"Maryland",0.22,24,"MD",3526800711.66,56565647217.17,0.0623488085996737,2023,NA,NA,NA,78.39
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Maryland  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",7001399,0.489,0.511,0.049,0.143,40.3,99858,0.554,0.199,0.242,0.006,2023,"Massachusetts",0.192,25,"MA",6069125030.04,76769748680.9,0.079056205527868,2023,"MA",25,14,79.5
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Massachusetts  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",10037261,0.495,0.505,0.053,0.158,40.5,69183,0.831,0.127,0.037,0.005,2023,"Michigan",0.211,26,"MI",4812921500.76,105124057566.25,0.0457832546819919,2023,NA,NA,NA,76.15
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Michigan  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",5737915,0.5,0.5,0.057,0.169,39.1,85086,0.752,0.2,0.04,0.008,2023,"Minnesota",0.226,27,"MN",3591487964.46,211553762891.89,0.0169767151165983,2023,"MN",27,26,73.39
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Minnesota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2939690,0.485,0.515,0.057,0.173,39.3,54203,0.385,0.595,0.012,0.008,2023,"Mississippi",0.23,28,"MS",2569880430.91,29036088344.27,0.08850642691398,2023,"MS",28,37,70.5
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Mississippi  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",6196156,0.493,0.507,0.056,0.165,39.3,68545,0.575,0.39,0.031,0.005,2023,"Missouri",0.221,29,"MO",3204382401.06,70695920007.76,0.045326270606681,2023,"MO",29,33,69.96
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Missouri  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1132812,0.505,0.495,0.049,0.159,40.6,70804,0.613,0.286,0.095,0.006,2023,"Montana",0.208,30,"MT",1293878968.46,12136215832.39,0.106613048608348,2023,"MT",30,9,69.29
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Montana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1978379,0.502,0.498,0.061,0.181,37.4,74590,0.658,0.319,0.017,0.005,2023,"Nebraska",0.242,31,"NE",1040873343.07,20983203343.39,0.0496050734502313,2023,"NE",31,1,69.01
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Nebraska  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3194176,0.503,0.497,0.054,0.161,39.4,76364,0.623,0.342,0.028,0.007,2023,"Nevada",0.215,32,"NV",1321251622,25303931978.67,0.0522152692756901,2023,"NV",32,6,72.33
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Nevada  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1402054,0.499,0.501,0.045,0.134,43.4,96838,0.406,0.113,0.472,0.008,2023,"New Hampshire",0.179,33,"NH",816064023.01,12580942366.18,0.0648650950984195,2023,"NH",33,11,75.01
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"New Hampshire  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",9290841,0.492,0.508,0.056,0.16,40.4,99781,0.748,0.171,0.073,0.007,2023,"New Jersey",0.216,34,"NJ",5597852206.64,77499570484.13,0.0722307513663744,2023,"NJ",34,1,79.88
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"New Jersey  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2114371,0.496,0.504,0.049,0.163,39.9,62268,0.689,0.235,0.071,0.005,2023,"New Mexico",0.212,35,"NM",1391343794.05,25729446880.85,0.0540759309942863,2023,"NM",35,3,70.59
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"New Mexico  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",19571216,0.488,0.512,0.053,0.149,40.2,82095,0.638,0.162,0.185,0.015,2023,"New York",0.202,36,"NY",12799749117.57,223719161376.41,0.0572134681661634,2023,"NY",36,27,80.65
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"New York  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",10835491,0.49,0.51,0.055,0.159,39.4,70804,0.301,0.659,0.032,0.008,2023,"North Carolina",0.214,37,"NC",4118144085.12,93994902745.92,0.0438124192356671,2023,"NC",37,101,73.52
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"North Carolina  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",783926,0.511,0.489,0.059,0.17,36.3,76525,0.549,0.4,0.037,0.015,2023,"North Dakota",0.229,38,"ND",1091058287.61,81200345444.14,0.0134366212562552,2023,"ND",38,28,62.4
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"North Dakota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",11785935,0.493,0.507,0.056,0.163,39.9,67769,0.691,0.265,0.039,0.006,2023,"Ohio",0.219,39,"OH",5930929524.97,106925755661.41,0.0554677354233607,2023,NA,NA,NA,73.07
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Ohio  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",4053824,0.497,0.503,0.059,0.179,37.1,62138,0.55,0.425,0.021,0.005,2023,"Oklahoma",0.238,40,"OK",2114734644.25,40121745480.52,0.0527079422623014,2023,"OK",40,32,66.86
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Oklahoma  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",4233358,0.497,0.503,0.047,0.149,40.7,80160,0.385,0.544,0.066,0.006,2023,"Oregon",0.196,41,"OR",2177387925.24,49669926979.15,0.0438371477001366,2023,"OR",41,4,74.88
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Oregon  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",12961683,0.493,0.507,0.051,0.151,41.1,73824,0.559,0.261,0.174,0.006,2023,"Pennsylvania",0.202,42,"PA",6965586017.13,233154010826.93,0.0298754715495782,2023,NA,NA,NA,75.03
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Pennsylvania  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1095962,0.489,0.511,0.048,0.137,40.8,84972,0.567,0.146,0.284,0.003,2023,"Rhode Island",0.185,44,"RI",1177994647.39,12966089513.91,0.0908519601169072,2023,"RI",44,1,74.94
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Rhode Island  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",5373555,0.485,0.515,0.053,0.159,40.5,67804,0.268,0.71,0.013,0.009,2023,"South Carolina",0.212,45,"SC",2015033672.17,113066032433.18,0.0178217421165888,2023,"SC",45,92,70.45
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"South Carolina  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",919318,0.509,0.491,0.06,0.178,38.5,71810,0.618,0.335,0.04,0.007,2023,"South Dakota",0.238,46,"SD",1227984676.53,8843330724.32,0.138859974234925,2023,"SD",46,30,68.86
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"South Dakota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",7126489,0.491,0.509,0.058,0.162,39.1,67631,0.341,0.636,0.018,0.006,2023,"Tennessee",0.22,47,"TN",2822746342.14,91678820345.42,0.0307895142139121,2023,"TN",47,86,70.34
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Tennessee  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",30503301,0.499,0.501,0.063,0.184,35.9,75780,0.372,0.612,0.008,0.007,2023,"Texas",0.247,48,"TX",11348204184.44,212008771844.48,0.0535270502522628,2023,"TX",48,23,71.19
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Texas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",3417734,0.507,0.493,0.067,0.206,32.3,93421,0.811,0.169,0.016,0.004,2023,"Utah",0.273,49,"UT",1485258728.6,20745377406.99,0.0715946834546164,2023,NA,NA,NA,69.76
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Utah  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",647464,0.499,0.501,0.042,0.135,43.7,81211,0.368,0.1,0.526,0.005,2023,"Vermont",0.177,50,"VT",813941891.19,7575776738.81,0.107440057864991,2023,"VT",50,36,76.62
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Vermont  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",8715698,0.494,0.506,0.055,0.16,39.3,89931,0.364,0.58,0.05,0.006,2023,"Virginia",0.215,51,"VA",3715783600.94,77624886616.45,0.0478684576932131,2023,NA,NA,NA,75.61
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Virginia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",7812880,0.504,0.496,0.053,0.157,38.6,94605,0.353,0.597,0.043,0.007,2023,"Washington",0.21,53,"WA",5068153430.71,72334322080.66,0.0700656795408755,2023,"WA",53,18,75.87
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Washington  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1770071,0.499,0.501,0.049,0.149,42.8,55948,0.454,0.462,0.08,0.004,2023,"West Virginia",0.198,54,"WV",1710529984.82,21077067519.99,0.0811559759533764,2023,"WV",54,2,62.84
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"West Virginia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",5910955,0.501,0.499,0.052,0.158,40.5,74631,0.756,0.189,0.048,0.006,2023,"Wisconsin",0.21,55,"WI",3201384590.8,98508264714.59,0.0324986395819217,2023,NA,NA,NA,74.02
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Wisconsin  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",584057,0.506,0.494,0.052,0.17,39.3,72415,0.705,0.231,0.061,0.003,2023,"Wyoming",0.222,56,"WY",811241123.27,5538234906.66,0.146480085612555,2023,"WY",56,1,63.07
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"Wyoming  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
