"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2024","TotalFedAction_2024","Ratio","Year","state","fipsStateCode","Disasters","2024"
"1",5157699,0.483,0.517,0.055,0.164,39.6,66659,0.308,0.675,0.008,0.009,2024,"Alabama",0.219,1,"AL",2597296159.29,48967124329.48,0.0530416313977076,2024,"AL",1,67,69.13
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Alabama  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",740133,0.527,0.473,0.061,0.175,36.3,95665,0.504,0.153,0.335,0.008,2024,"Alaska",0.236,2,"AK",2506678604.84,12757613467.37,0.196484915556605,2024,"AK",2,5,69.86
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Alaska  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",7582384,0.499,0.501,0.052,0.157,39.4,81486,0.368,0.591,0.033,0.009,2024,"Arizona",0.209,4,"AZ",3224693364.69,80677285060.71,0.0399702761720775,2024,"AZ",4,5,74.44
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Arizona  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3088354,0.491,0.509,0.057,0.169,39.1,62106,0.425,0.541,0.03,0.005,2024,"Arkansas",0.226,5,"AR",1940278197.42,29759153233.02,0.0651993752049073,2024,"AR",5,15,66.57
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Arkansas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",39431263,0.499,0.501,0.053,0.16,38.4,100149,0.635,0.301,0.032,0.032,2024,"California",0.213,6,"CA",24880602240.45,383593893044.36,0.064861830940496,2024,"CA",6,29,76.11
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"California  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",5957494,0.506,0.494,0.051,0.151,38,97113,0.711,0.255,0.029,0.006,2024,"Colorado",0.202,8,"CO",3850768222.34,48452459920.19,0.0794751851336942,2024,"CO",8,4,74.08
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Colorado  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3675069,0.491,0.509,0.049,0.149,41.2,96049,0.418,0.202,0.376,0.004,2024,"Connecticut",0.198,9,"CT",2701346635.17,100652088421.25,0.0268384558884094,2024,"CT",9,9,78.17
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Connecticut  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1051917,0.482,0.518,0.052,0.151,42.1,87534,0.517,0.391,0.087,0.006,2024,"Delaware",0.203,10,"DE",677423992.79,11022417074.31,0.0614587515808012,2024,NA,NA,NA,75.9
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Delaware  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",702250,0.473,0.527,0.056,0.129,34.9,109707,0.46,0.499,0.02,0.021,2024,"District of Columbia",0.185,11,"DC",8107475845.32,25357506602.79,0.319726855337897,2024,NA,NA,NA,83.7
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"District of Columbia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",23372215,0.492,0.508,0.049,0.143,42.7,77735,0.067,0.897,0.011,0.025,2024,"Florida",0.192,12,"FL",8097092218.14,255953810528.76,0.0316349743002954,2024,"FL",12,223,75.33
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Florida  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",11180878,0.487,0.513,0.055,0.172,38,79991,0.411,0.576,0.008,0.006,2024,"Georgia",0.227,13,"GA",5100563734.18,83481330503.47,0.0610982563816228,2024,"GA",13,343,72.77
